Numéro de commande;Date;SKU;Nom;Quantité;
#1287;29-sept.-18;1-0004;Produit 4;1;
#1288;30-sept.-18;1-0048;Produit 48;1;
#1288;30-sept.-18;1-0049;Produit 49;1;
#1288;30-sept.-18;1-0014;Produit 14;1;
#1288;30-sept.-18;1-0010;Produit 10;1;
#1289;30-sept.-18;1-0050;Produit 50;1;
#1289;30-sept.-18;1-0054;Produit 54;1;
#1289;30-sept.-18;1-0038;Produit 38;1;
#1290;30-sept.-18;1-0013;Produit 13;1;
#1290;30-sept.-18;1-0010;Produit 10;1;
#1291;30-sept.-18;1-0100;Produit 100;1;
#1292;30-sept.-18;1-0022;Produit 22;1;
#1292;30-sept.-18;1-0050;Produit 50;3;
#1292;30-sept.-18;1-0055;Produit 55;1;
#1293;1-oct.-18;1-0009;Produit 9;1;
#1294;1-oct.-18;1-0094;Produit 94;1;
#1294;1-oct.-18;1-0034;Produit 34;1;
#1294;1-oct.-18;1-0063;Produit 63;1;
#1294;1-oct.-18;1-0080;Produit 80;1;
#1297;1-oct.-18;1-0021;Produit 21;1;
#1297;1-oct.-18;1-0075;Produit 75;1;
#1297;1-oct.-18;1-0003;Produit 3;2;
#1297;1-oct.-18;1-0050;Produit 50;2;
#1297;1-oct.-18;1-0012;Produit 12;2;
#1298;1-oct.-18;1-0064;Produit 64;1;
#1298;1-oct.-18;1-0061;Produit 61;1;
#1298;1-oct.-18;1-0074;Produit 74;1;
#1299;1-oct.-18;1-0035;Produit 35;1;
#1300;1-oct.-18;1-0061;Produit 61;1;
#1300;1-oct.-18;1-0084;Produit 84;1;
#1300;1-oct.-18;1-0075;Produit 75;1;
#1300;1-oct.-18;1-0050;Produit 50;3;
#1301;1-oct.-18;1-0046;Produit 46;1;
#1301;1-oct.-18;1-0095;Produit 95;1;
#1301;1-oct.-18;1-0094;Produit 94;1;
#1301;1-oct.-18;1-0008;Produit 8;1;
#1301;1-oct.-18;1-0033;Produit 33;1;
#1301;1-oct.-18;1-0034;Produit 34;1;
#1301;1-oct.-18;1-0044;Produit 44;1;
#1301;1-oct.-18;1-0043;Produit 43;1;
#1301;1-oct.-18;1-0002;Produit 2;1;
#1301;1-oct.-18;1-0001;Produit 1;1;
#1301;1-oct.-18;1-0039;Produit 39;1;
#1301;1-oct.-18;1-0053;Produit 53;1;
#1301;1-oct.-18;1-0015;Produit 15;1;
#1302;2-oct.-18;1-0039;Produit 39;1;
#1302;2-oct.-18;1-0050;Produit 50;3;
#1303;2-oct.-18;1-0080;Produit 80;1;
#1303;2-oct.-18;1-0050;Produit 50;1;
#1303;2-oct.-18;1-0053;Produit 53;1;
#1303;2-oct.-18;1-0048;Produit 48;1;
#1304;2-oct.-18;1-0004;Produit 4;1;
#1305;2-oct.-18;1-0050;Produit 50;3;
#1305;2-oct.-18;1-0051;Produit 51;3;
#1305;2-oct.-18;1-0039;Produit 39;1;
#1305;2-oct.-18;1-0032;Produit 32;3;
#1305;2-oct.-18;1-0034;Produit 34;1;
#1305;2-oct.-18;1-0011;Produit 11;1;
#1306;2-oct.-18;1-0070;Produit 70;1;
#1306;2-oct.-18;1-0096;Produit 96;1;
#1306;2-oct.-18;1-0050;Produit 50;4;
#1306;2-oct.-18;1-0066;Produit 66;1;
#1306;2-oct.-18;1-0049;Produit 49;2;
#1306;2-oct.-18;1-0037;Produit 37;1;
#1306;2-oct.-18;1-0008;Produit 8;1;
#1307;3-oct.-18;1-0076;Produit 76;1;
#1307;3-oct.-18;1-0004;Produit 4;1;
#1308;3-oct.-18;1-0045;Produit 45;1;
#1308;3-oct.-18;1-0053;Produit 53;2;
#1308;3-oct.-18;1-0057;Produit 57;3;
#1309;3-oct.-18;1-0050;Produit 50;2;
#1310;3-oct.-18;1-0003;Produit 3;1;
#1310;3-oct.-18;1-0039;Produit 39;1;
#1310;3-oct.-18;1-0050;Produit 50;3;
#1310;3-oct.-18;1-0008;Produit 8;1;
#1311;3-oct.-18;1-0067;Produit 67;1;
#1311;3-oct.-18;1-0063;Produit 63;2;
#1311;3-oct.-18;1-0061;Produit 61;3;
#1311;3-oct.-18;1-0058;Produit 58;1;
#1311;3-oct.-18;1-0050;Produit 50;2;
#1312;3-oct.-18;1-0072;Produit 72;2;
#1312;3-oct.-18;1-0067;Produit 67;2;
#1312;3-oct.-18;1-0064;Produit 64;6;
#1312;3-oct.-18;1-0063;Produit 63;1;
#1312;3-oct.-18;1-0061;Produit 61;3;
#1312;3-oct.-18;1-0051;Produit 51;2;
#1312;3-oct.-18;1-0053;Produit 53;3;
#1313;3-oct.-18;1-0011;Produit 11;1;
#1313;3-oct.-18;1-0050;Produit 50;1;
#1313;3-oct.-18;1-0100;Produit 100;1;
#1313;3-oct.-18;1-0049;Produit 49;1;
#1313;3-oct.-18;1-0003;Produit 3;1;
#1313;3-oct.-18;1-0029;Produit 29;1;
#1314;4-oct.-18;1-0037;Produit 37;1;
#1314;4-oct.-18;1-0100;Produit 100;1;
#1314;4-oct.-18;1-0047;Produit 47;1;
#1314;4-oct.-18;1-0052;Produit 52;1;
#1314;4-oct.-18;1-0050;Produit 50;2;
#1315;4-oct.-18;1-0001;Produit 1;1;
#1315;4-oct.-18;1-0028;Produit 28;1;
#1315;4-oct.-18;1-0030;Produit 30;1;
#1315;4-oct.-18;1-0029;Produit 29;1;
#1317;4-oct.-18;1-0048;Produit 48;2;
#1317;4-oct.-18;1-0015;Produit 15;1;
#1317;4-oct.-18;1-0003;Produit 3;1;
#1317;4-oct.-18;1-0058;Produit 58;3;
#1317;4-oct.-18;1-0050;Produit 50;2;
#1318;4-oct.-18;1-0049;Produit 49;1;
#1318;4-oct.-18;1-0001;Produit 1;1;
#1319;4-oct.-18;1-0013;Produit 13;1;
#1320;4-oct.-18;1-0096;Produit 96;1;
#1320;4-oct.-18;1-0004;Produit 4;1;
#1321;4-oct.-18;1-0049;Produit 49;1;
#1321;4-oct.-18;1-0052;Produit 52;2;
#1321;4-oct.-18;1-0054;Produit 54;2;
#1321;4-oct.-18;1-0051;Produit 51;3;
#1321;4-oct.-18;1-0016;Produit 16;1;
#1322;4-oct.-18;1-0049;Produit 49;1;
#1323;4-oct.-18;1-0067;Produit 67;1;
#1323;4-oct.-18;1-0011;Produit 11;1;
#1323;4-oct.-18;1-0053;Produit 53;2;
#1323;4-oct.-18;1-0054;Produit 54;1;
#1323;4-oct.-18;1-0051;Produit 51;3;
#1324;5-oct.-18;1-0043;Produit 43;1;
#1324;5-oct.-18;1-0044;Produit 44;1;
#1324;5-oct.-18;1-0063;Produit 63;1;
#1324;5-oct.-18;1-0065;Produit 65;1;
#1324;5-oct.-18;1-0010;Produit 10;1;
#1324;5-oct.-18;1-0008;Produit 8;1;
#1324;5-oct.-18;1-0054;Produit 54;2;
#1325;5-oct.-18;1-0053;Produit 53;1;
#1325;5-oct.-18;1-0052;Produit 52;1;
#1326;5-oct.-18;1-0092;Produit 92;1;
#1326;5-oct.-18;1-0091;Produit 91;1;
#1326;5-oct.-18;1-0093;Produit 93;1;
#1326;5-oct.-18;1-0062;Produit 62;10;
#1326;5-oct.-18;1-0053;Produit 53;2;
#1328;5-oct.-18;1-0060;Produit 60;1;
#1328;5-oct.-18;1-0066;Produit 66;1;
#1330;5-oct.-18;1-0012;Produit 12;1;
#1330;5-oct.-18;1-0022;Produit 22;1;
#1330;5-oct.-18;1-0063;Produit 63;1;
#1331;5-oct.-18;1-0038;Produit 38;1;
#1331;5-oct.-18;1-0032;Produit 32;1;
#1331;5-oct.-18;1-0034;Produit 34;1;
#1331;5-oct.-18;1-0039;Produit 39;1;
#1331;5-oct.-18;1-0040;Produit 40;1;
#1331;5-oct.-18;1-0009;Produit 9;1;
#1331;5-oct.-18;1-0008;Produit 8;1;
#1331;5-oct.-18;1-0007;Produit 7;1;
#1331;5-oct.-18;1-0055;Produit 55;1;
#1331;5-oct.-18;1-0054;Produit 54;4;
#1331;5-oct.-18;1-0043;Produit 43;4;
#1331;5-oct.-18;1-0079;Produit 79;1;
#1331;5-oct.-18;1-0081;Produit 81;1;
#1331;5-oct.-18;1-0005;Produit 5;1;
#1332;6-oct.-18;1-0015;Produit 15;1;
#1332;6-oct.-18;1-0050;Produit 50;2;
#1332;6-oct.-18;1-0053;Produit 53;1;
#1332;6-oct.-18;1-0055;Produit 55;1;
#1332;6-oct.-18;1-0054;Produit 54;2;
#1332;6-oct.-18;1-0013;Produit 13;1;
#1332;6-oct.-18;1-0003;Produit 3;1;
#1332;6-oct.-18;1-0014;Produit 14;1;
#1332;6-oct.-18;1-0061;Produit 61;1;
#1332;6-oct.-18;1-0040;Produit 40;1;
#1333;7-oct.-18;1-0047;Produit 47;1;
#1333;7-oct.-18;1-0050;Produit 50;2;
#1333;7-oct.-18;1-0038;Produit 38;1;
#1333;7-oct.-18;1-0040;Produit 40;1;
#1333;7-oct.-18;1-0039;Produit 39;1;
#1333;7-oct.-18;1-0100;Produit 100;1;
#1334;7-oct.-18;1-0003;Produit 3;2;
#1334;7-oct.-18;1-0050;Produit 50;3;
#1334;7-oct.-18;1-0055;Produit 55;3;
#1335;7-oct.-18;1-0054;Produit 54;2;
#1335;7-oct.-18;1-0050;Produit 50;2;
#1335;7-oct.-18;1-0059;Produit 59;1;
#1335;7-oct.-18;1-0063;Produit 63;1;
#1335;7-oct.-18;1-0066;Produit 66;1;
#1335;7-oct.-18;1-0078;Produit 78;1;
#1336;7-oct.-18;1-0055;Produit 55;1;
#1337;7-oct.-18;1-0006;Produit 6;1;
#1337;7-oct.-18;1-0007;Produit 7;1;
#1337;7-oct.-18;1-0095;Produit 95;1;
#1337;7-oct.-18;1-0097;Produit 97;1;
#1337;7-oct.-18;1-0044;Produit 44;1;
#1337;7-oct.-18;1-0003;Produit 3;1;
#1337;7-oct.-18;1-0090;Produit 90;1;
#1337;7-oct.-18;1-0050;Produit 50;1;
#1338;7-oct.-18;1-0015;Produit 15;1;
#1338;7-oct.-18;1-0096;Produit 96;1;
#1339;7-oct.-18;1-0034;Produit 34;1;
#1340;7-oct.-18;1-0090;Produit 90;1;
#1340;7-oct.-18;1-0070;Produit 70;1;
#1340;7-oct.-18;1-0082;Produit 82;1;
#1340;7-oct.-18;1-0010;Produit 10;1;
#1340;7-oct.-18;1-0013;Produit 13;1;
#1340;7-oct.-18;1-0022;Produit 22;1;
#1340;7-oct.-18;1-0096;Produit 96;1;
#1340;7-oct.-18;1-0040;Produit 40;1;
#1340;7-oct.-18;1-0039;Produit 39;1;
#1340;7-oct.-18;1-0051;Produit 51;2;
#1341;7-oct.-18;1-0099;Produit 99;2;
#1341;7-oct.-18;1-0004;Produit 4;1;
#1342;7-oct.-18;1-0066;Produit 66;1;
#1342;7-oct.-18;1-0015;Produit 15;1;
#1342;7-oct.-18;1-0054;Produit 54;2;
#1342;7-oct.-18;1-0006;Produit 6;1;
#1342;7-oct.-18;1-0014;Produit 14;1;
#1342;7-oct.-18;1-0039;Produit 39;1;
#1342;7-oct.-18;1-0050;Produit 50;4;
#1342;7-oct.-18;1-0038;Produit 38;1;
#1343;8-oct.-18;1-0057;Produit 57;2;
#1343;8-oct.-18;1-0034;Produit 34;1;
#1343;8-oct.-18;1-0028;Produit 28;1;
#1343;8-oct.-18;1-0030;Produit 30;1;
#1343;8-oct.-18;1-0053;Produit 53;4;
#1345;8-oct.-18;1-0050;Produit 50;2;
#1346;8-oct.-18;1-0020;Produit 20;1;
#1346;8-oct.-18;1-0058;Produit 58;2;
#1347;8-oct.-18;1-0006;Produit 6;1;
#1347;8-oct.-18;1-0048;Produit 48;1;
#1347;8-oct.-18;1-0049;Produit 49;1;
#1347;8-oct.-18;1-0039;Produit 39;1;
#1348;8-oct.-18;1-0053;Produit 53;1;
#1348;8-oct.-18;1-0050;Produit 50;1;
#1349;9-oct.-18;1-0053;Produit 53;2;
#1349;9-oct.-18;1-0058;Produit 58;5;
#1349;9-oct.-18;1-0054;Produit 54;5;
#1349;9-oct.-18;1-0050;Produit 50;10;
#1349;9-oct.-18;1-0055;Produit 55;7;
#1349;9-oct.-18;1-0009;Produit 9;1;
#1349;9-oct.-18;1-0039;Produit 39;2;
#1349;9-oct.-18;1-0008;Produit 8;1;
#1350;9-oct.-18;1-0040;Produit 40;3;
#1351;9-oct.-18;1-0016;Produit 16;1;
#1352;9-oct.-18;1-0030;Produit 30;2;
#1352;9-oct.-18;1-0004;Produit 4;2;
#1352;9-oct.-18;1-0055;Produit 55;3;
#1352;9-oct.-18;1-0050;Produit 50;2;
#1352;9-oct.-18;1-0045;Produit 45;1;
#1352;9-oct.-18;1-0096;Produit 96;4;
#1352;9-oct.-18;1-0029;Produit 29;2;
#1352;9-oct.-18;1-0046;Produit 46;4;
#1352;9-oct.-18;1-0053;Produit 53;4;
#1352;9-oct.-18;1-0054;Produit 54;2;
#1352;9-oct.-18;1-0051;Produit 51;2;
#1353;9-oct.-18;1-0054;Produit 54;2;
#1353;9-oct.-18;1-0039;Produit 39;1;
#1353;9-oct.-18;1-0046;Produit 46;2;
#1353;9-oct.-18;1-0031;Produit 31;1;
#1353;9-oct.-18;1-0011;Produit 11;1;
#1353;9-oct.-18;1-0008;Produit 8;1;
#1353;9-oct.-18;1-0016;Produit 16;1;
#1354;9-oct.-18;1-0054;Produit 54;1;
#1354;9-oct.-18;1-0055;Produit 55;2;
#1354;9-oct.-18;1-0053;Produit 53;2;
#1354;9-oct.-18;1-0059;Produit 59;2;
#1354;9-oct.-18;1-0014;Produit 14;1;
#1354;9-oct.-18;1-0066;Produit 66;2;
#1354;9-oct.-18;1-0063;Produit 63;2;
#1355;9-oct.-18;1-0055;Produit 55;2;
#1355;9-oct.-18;1-0050;Produit 50;2;
#1356;9-oct.-18;1-0049;Produit 49;1;
#1356;9-oct.-18;1-0052;Produit 52;1;
#1356;9-oct.-18;1-0032;Produit 32;1;
#1356;9-oct.-18;1-0031;Produit 31;1;
#1356;9-oct.-18;1-0050;Produit 50;6;
#1357;10-oct.-18;1-0023;Produit 23;1;
#1357;10-oct.-18;1-0015;Produit 15;1;
#1357;10-oct.-18;1-0042;Produit 42;1;
#1357;10-oct.-18;1-0049;Produit 49;1;
#1357;10-oct.-18;1-0054;Produit 54;5;
#1357;10-oct.-18;1-0055;Produit 55;10;
#1357;10-oct.-18;1-0050;Produit 50;10;
#1358;10-oct.-18;1-0038;Produit 38;1;
#1359;10-oct.-18;1-0100;Produit 100;4;
#1360;10-oct.-18;1-0021;Produit 21;1;
#1360;10-oct.-18;1-0065;Produit 65;2;
#1360;10-oct.-18;1-0061;Produit 61;1;
#1360;10-oct.-18;1-0054;Produit 54;2;
#1361;10-oct.-18;1-0075;Produit 75;1;
#1362;10-oct.-18;1-0058;Produit 58;1;
#1362;10-oct.-18;1-0055;Produit 55;1;
#1362;10-oct.-18;1-0050;Produit 50;1;
#1363;11-oct.-18;1-0051;Produit 51;1;
#1363;11-oct.-18;1-0004;Produit 4;1;
#1363;11-oct.-18;1-0031;Produit 31;1;
#1363;11-oct.-18;1-0034;Produit 34;1;
#1365;11-oct.-18;1-0077;Produit 77;1;
#1365;11-oct.-18;1-0075;Produit 75;1;
#1366;11-oct.-18;1-0037;Produit 37;1;
#1366;11-oct.-18;1-0030;Produit 30;1;
#1366;11-oct.-18;1-0013;Produit 13;1;
#1368;11-oct.-18;1-0095;Produit 95;1;
#1369;11-oct.-18;1-0054;Produit 54;2;
#1371;11-oct.-18;1-0060;Produit 60;1;
#1371;11-oct.-18;1-0059;Produit 59;2;
#1371;11-oct.-18;1-0028;Produit 28;1;
#1371;11-oct.-18;1-0029;Produit 29;1;
#1371;11-oct.-18;1-0030;Produit 30;1;
#1371;11-oct.-18;1-0067;Produit 67;2;
#1372;11-oct.-18;1-0004;Produit 4;1;
#1372;11-oct.-18;1-0096;Produit 96;2;
#1372;11-oct.-18;1-0032;Produit 32;1;
#1372;11-oct.-18;1-0055;Produit 55;3;
#1373;12-oct.-18;1-0100;Produit 100;1;
#1373;12-oct.-18;1-0010;Produit 10;1;
#1373;12-oct.-18;1-0055;Produit 55;2;
#1373;12-oct.-18;1-0050;Produit 50;3;
#1374;12-oct.-18;1-0055;Produit 55;2;
#1374;12-oct.-18;1-0050;Produit 50;3;
#1374;12-oct.-18;1-0053;Produit 53;3;
#1376;12-oct.-18;1-0013;Produit 13;2;
#1379;13-oct.-18;1-0050;Produit 50;15;
#1379;13-oct.-18;1-0055;Produit 55;10;
#1380;13-oct.-18;1-0032;Produit 32;1;
#1381;13-oct.-18;1-0054;Produit 54;1;
#1381;13-oct.-18;1-0050;Produit 50;1;
#1381;13-oct.-18;1-0007;Produit 7;1;
#1382;13-oct.-18;1-0066;Produit 66;1;
#1382;13-oct.-18;1-0034;Produit 34;1;
#1382;13-oct.-18;1-0017;Produit 17;1;
#1382;13-oct.-18;1-0018;Produit 18;1;
#1382;13-oct.-18;1-0060;Produit 60;1;
#1383;14-oct.-18;1-0057;Produit 57;2;
#1383;14-oct.-18;1-0050;Produit 50;10;
#1383;14-oct.-18;1-0040;Produit 40;2;
#1383;14-oct.-18;1-0039;Produit 39;1;
#1384;14-oct.-18;1-0068;Produit 68;1;
#1384;14-oct.-18;1-0065;Produit 65;1;
#1384;14-oct.-18;1-0063;Produit 63;1;
#1385;14-oct.-18;1-0052;Produit 52;1;
#1385;14-oct.-18;1-0054;Produit 54;2;
#1385;14-oct.-18;1-0055;Produit 55;2;
#1385;14-oct.-18;1-0050;Produit 50;2;
#1385;14-oct.-18;1-0065;Produit 65;2;
#1386;14-oct.-18;1-0014;Produit 14;1;
#1386;14-oct.-18;1-0100;Produit 100;1;
#1386;14-oct.-18;1-0008;Produit 8;1;
#1386;14-oct.-18;1-0028;Produit 28;1;
#1386;14-oct.-18;1-0038;Produit 38;1;
#1387;14-oct.-18;1-0067;Produit 67;1;
#1387;14-oct.-18;1-0034;Produit 34;1;
#1387;14-oct.-18;1-0004;Produit 4;2;
#1387;14-oct.-18;1-0030;Produit 30;1;
#1387;14-oct.-18;1-0053;Produit 53;1;
#1388;15-oct.-18;1-0053;Produit 53;2;
#1388;15-oct.-18;1-0050;Produit 50;2;
#1389;15-oct.-18;1-0033;Produit 33;1;
#1389;15-oct.-18;1-0053;Produit 53;2;
#1389;15-oct.-18;1-0057;Produit 57;2;
#1390;15-oct.-18;1-0050;Produit 50;5;
#1391;15-oct.-18;1-0064;Produit 64;1;
#1391;15-oct.-18;1-0022;Produit 22;1;
#1391;15-oct.-18;1-0023;Produit 23;1;
#1391;15-oct.-18;1-0011;Produit 11;2;
#1391;15-oct.-18;1-0075;Produit 75;1;
#1392;15-oct.-18;1-0070;Produit 70;1;
#1392;15-oct.-18;1-0067;Produit 67;1;
#1392;15-oct.-18;1-0064;Produit 64;1;
#1392;15-oct.-18;1-0061;Produit 61;1;
#1392;15-oct.-18;1-0012;Produit 12;1;
#1392;15-oct.-18;1-0010;Produit 10;1;
#1392;15-oct.-18;1-0008;Produit 8;1;
#1392;15-oct.-18;1-0031;Produit 31;1;
#1393;15-oct.-18;1-0081;Produit 81;1;
#1393;15-oct.-18;1-0054;Produit 54;1;
#1393;15-oct.-18;1-0050;Produit 50;1;
#1394;15-oct.-18;1-0079;Produit 79;1;
#1394;15-oct.-18;1-0067;Produit 67;1;
#1395;15-oct.-18;1-0061;Produit 61;2;
#1395;15-oct.-18;1-0063;Produit 63;3;
#1395;15-oct.-18;1-0065;Produit 65;4;
#1395;15-oct.-18;1-0050;Produit 50;3;
#1396;15-oct.-18;1-0058;Produit 58;1;
#1397;15-oct.-18;1-0081;Produit 81;1;
#1397;15-oct.-18;1-0053;Produit 53;1;
#1397;15-oct.-18;1-0058;Produit 58;1;
#1397;15-oct.-18;1-0067;Produit 67;1;
#1398;15-oct.-18;1-0042;Produit 42;1;
#1398;15-oct.-18;1-0028;Produit 28;2;
#1399;16-oct.-18;1-0006;Produit 6;1;
#1399;16-oct.-18;1-0016;Produit 16;1;
#1399;16-oct.-18;1-0050;Produit 50;5;
#1400;16-oct.-18;1-0030;Produit 30;1;
#1400;16-oct.-18;1-0090;Produit 90;1;
#1400;16-oct.-18;1-0095;Produit 95;1;
#1400;16-oct.-18;1-0010;Produit 10;1;
#1401;16-oct.-18;1-0091;Produit 91;1;
#1401;16-oct.-18;1-0092;Produit 92;1;
#1401;16-oct.-18;1-0012;Produit 12;3;
#1402;16-oct.-18;1-0067;Produit 67;1;
#1402;16-oct.-18;1-0061;Produit 61;1;
#1402;16-oct.-18;1-0043;Produit 43;1;
#1403;16-oct.-18;1-0045;Produit 45;2;
#1403;16-oct.-18;1-0044;Produit 44;2;
#1403;16-oct.-18;1-0058;Produit 58;3;
#1403;16-oct.-18;1-0054;Produit 54;2;
#1404;16-oct.-18;1-0014;Produit 14;2;
#1404;16-oct.-18;1-0057;Produit 57;4;
#1404;16-oct.-18;1-0009;Produit 9;2;
#1404;16-oct.-18;1-0008;Produit 8;2;
#1405;16-oct.-18;1-0095;Produit 95;1;
#1405;16-oct.-18;1-0100;Produit 100;1;
#1405;16-oct.-18;1-0052;Produit 52;1;
#1405;16-oct.-18;1-0050;Produit 50;2;
#1405;16-oct.-18;1-0043;Produit 43;1;
#1405;16-oct.-18;1-0001;Produit 1;1;
#1405;16-oct.-18;1-0028;Produit 28;1;
#1405;16-oct.-18;1-0029;Produit 29;1;
#1405;16-oct.-18;1-0040;Produit 40;1;
#1406;16-oct.-18;1-0064;Produit 64;1;
#1406;16-oct.-18;1-0061;Produit 61;2;
#1406;16-oct.-18;1-0008;Produit 8;1;
#1406;16-oct.-18;1-0012;Produit 12;1;
#1406;16-oct.-18;1-0016;Produit 16;1;
#1407;16-oct.-18;1-0073;Produit 73;1;
#1407;16-oct.-18;1-0038;Produit 38;1;
#1407;16-oct.-18;1-0067;Produit 67;1;
#1407;16-oct.-18;1-0052;Produit 52;3;
#1407;16-oct.-18;1-0050;Produit 50;2;
#1408;16-oct.-18;1-0080;Produit 80;1;
#1408;16-oct.-18;1-0050;Produit 50;1;
#1408;16-oct.-18;1-0053;Produit 53;1;
#1408;16-oct.-18;1-0048;Produit 48;1;
#1409;16-oct.-18;1-0075;Produit 75;1;
#1410;16-oct.-18;1-0082;Produit 82;1;
#1410;16-oct.-18;1-0070;Produit 70;1;
#1410;16-oct.-18;1-0050;Produit 50;1;
#1411;16-oct.-18;1-0052;Produit 52;1;
#1411;16-oct.-18;1-0050;Produit 50;10;
#1411;16-oct.-18;1-0045;Produit 45;2;
#1411;16-oct.-18;1-0004;Produit 4;1;
#1412;17-oct.-18;1-0072;Produit 72;1;
#1412;17-oct.-18;1-0100;Produit 100;2;
#1412;17-oct.-18;1-0048;Produit 48;1;
#1412;17-oct.-18;1-0053;Produit 53;2;
#1412;17-oct.-18;1-0038;Produit 38;1;
#1412;17-oct.-18;1-0009;Produit 9;1;
#1413;17-oct.-18;1-0059;Produit 59;1;
#1414;17-oct.-18;1-0057;Produit 57;1;
#1414;17-oct.-18;1-0052;Produit 52;1;
#1414;17-oct.-18;1-0050;Produit 50;1;
#1415;17-oct.-18;1-0008;Produit 8;1;
#1415;17-oct.-18;1-0050;Produit 50;4;
#1415;17-oct.-18;1-0052;Produit 52;2;
#1415;17-oct.-18;1-0055;Produit 55;2;
#1415;17-oct.-18;1-0057;Produit 57;1;
#1415;17-oct.-18;1-0058;Produit 58;1;
#1416;17-oct.-18;1-0050;Produit 50;1;
#1416;17-oct.-18;1-0055;Produit 55;2;
#1416;17-oct.-18;1-0066;Produit 66;1;
#1416;17-oct.-18;1-0067;Produit 67;1;
#1416;17-oct.-18;1-0034;Produit 34;1;
#1417;17-oct.-18;1-0043;Produit 43;1;
#1417;17-oct.-18;1-0003;Produit 3;3;
#1417;17-oct.-18;1-0039;Produit 39;1;
#1417;17-oct.-18;1-0056;Produit 56;2;
#1417;17-oct.-18;1-0050;Produit 50;5;
#1417;17-oct.-18;1-0055;Produit 55;5;
#1418;17-oct.-18;1-0011;Produit 11;1;
#1418;17-oct.-18;1-0013;Produit 13;1;
#1418;17-oct.-18;1-0038;Produit 38;1;
#1418;17-oct.-18;1-0028;Produit 28;1;
#1418;17-oct.-18;1-0063;Produit 63;1;
#1418;17-oct.-18;1-0056;Produit 56;1;
#1419;17-oct.-18;1-0075;Produit 75;1;
#1419;17-oct.-18;1-0079;Produit 79;1;
#1420;17-oct.-18;1-0041;Produit 41;1;
#1420;17-oct.-18;1-0048;Produit 48;1;
#1420;17-oct.-18;1-0030;Produit 30;2;
#1420;17-oct.-18;1-0039;Produit 39;1;
#1421;17-oct.-18;1-0050;Produit 50;5;
#1422;17-oct.-18;1-0055;Produit 55;2;
#1422;17-oct.-18;1-0056;Produit 56;4;
#1422;17-oct.-18;1-0061;Produit 61;6;
#1422;17-oct.-18;1-0047;Produit 47;1;
#1422;17-oct.-18;1-0067;Produit 67;3;
#1423;17-oct.-18;1-0051;Produit 51;2;
#1423;17-oct.-18;1-0014;Produit 14;1;
#1423;17-oct.-18;1-0003;Produit 3;1;
#1423;17-oct.-18;1-0013;Produit 13;1;
#1424;17-oct.-18;1-0082;Produit 82;1;
#1424;17-oct.-18;1-0100;Produit 100;1;
#1424;17-oct.-18;1-0050;Produit 50;2;
#1425;17-oct.-18;1-0050;Produit 50;2;
